代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
834058,华洋赛车,18.99,5.03,0.91,0.00,6.98,2.25,6.14,1832.24万,1404.24万,2.67亿,60.44
603029,天鹅股份,15.47,5.02,0.74,0.07,6.36,3.69,11.34,1.20亿,1.21亿,18.77亿,67.22
300852,四会富仕,25.10,5.02,1.20,0.00,5.22,2.95,7.24,1.75亿,1.37亿,34.36亿,19.29
002748,ST世龙,5.45,5.01,0.26,0.00,3.93,0.92,7.32,5071.76万,2.40亿,13.08亿,亏损
300982,苏文电能,22.26,5.00,1.06,0.09,4.66,0.65,7.55,1.96亿,1.94亿,43.16亿,22.39
002149,西部材料,15.35,4.99,0.73,0.07,1.96,2.08,5.95,1.44亿,4.88亿,74.93亿,51.04
605577,龙版传媒,19.02,4.97,0.90,0.00,20.62,4.48,9.11,7.34亿,1.88亿,35.83亿,15.39
837023,芭薇股份,12.47,4.97,0.59,0.00,8.36,1.26,8.08,2463.70万,2393.06万,2.98亿,33.75
000911,广农糖业,7.22,4.94,0.34,0.14,3.23,2.46,10.90,7410.35万,3.24亿,23.40亿,149.57
600885,宏发股份,30.19,4.94,1.42,0.00,1.19,2.39,5.14,3.70亿,10.43亿,314.78亿,22.10
688506,百利天恒-U,193.00,4.91,9.04,0.21,2.43,1.61,6.83,4.15亿,9045.10万,174.57亿,3.87
300447,全信股份,15.38,4.91,0.72,0.13,15.08,1.70,17.33,4.72亿,2.01亿,30.96亿,36.64
600129,太极集团,38.07,4.91,1.78,0.03,2.35,1.64,7.11,4.94亿,5.57亿,212.01亿,21.47
301508,中机认检,41.13,4.87,1.91,0.24,31.01,3.16,13.82,5.98亿,4521.70万,18.60亿,85.90
301167,建研设计,12.55,4.84,0.58,0.08,7.13,1.87,11.86,6301.64万,7111.79万,8.93亿,亏损
000680,山推股份,8.67,4.84,0.40,0.12,2.53,1.74,7.01,2.81亿,13.08亿,113.40亿,15.68
300395,菲利华,34.52,4.83,1.59,0.00,2.70,1.50,8.47,4.70亿,5.11亿,176.54亿,57.94
000758,中色股份,5.44,4.82,0.25,-0.18,5.42,1.99,4.05,5.80亿,19.69亿,107.13亿,9.03
301315,威士顿,47.44,4.82,2.18,0.00,10.10,2.56,9.48,1.02亿,2200.00万,10.44亿,137.13
600822,上海物贸,8.59,4.76,0.39,-0.12,3.06,2.48,8.90,1.04亿,3.96亿,34.03亿,206.28
605162,新中港,7.94,4.75,0.36,0.00,19.91,0.61,7.52,1.55亿,1.01亿,8.06亿,31.28
002331,皖通科技,6.86,4.73,0.31,-0.29,6.90,3.05,9.16,1.91亿,3.96亿,27.16亿,亏损
600872,中炬高新,27.45,4.73,1.24,-0.07,1.90,2.10,5.49,4.05亿,7.85亿,215.59亿,22.55
301162,国能日新,50.96,4.73,2.30,0.06,10.59,0.84,8.84,3.22亿,6055.99万,30.86亿,102.46
002675,东诚药业,14.45,4.71,0.65,-0.28,3.24,1.32,6.01,3.55亿,7.66亿,110.65亿,46.31
603815,交建股份,6.71,4.68,0.30,0.00,1.16,2.48,7.02,4695.96万,6.19亿,41.53亿,31.78
300807,天迈科技,26.38,4.60,1.16,0.11,13.52,1.66,6.46,1.73亿,4905.40万,12.94亿,亏损
300573,兴齐眼药,193.50,4.59,8.50,0.10,3.97,1.07,4.32,10.17亿,1.34亿,259.27亿,242.82
603052,可川科技,30.99,4.59,1.36,0.16,9.88,2.18,5.87,1.23亿,4096.40万,12.69亿,49.65
000520,凤凰航运,3.45,4.55,0.15,0.00,12.61,0.94,8.18,4.25亿,10.12亿,34.92亿,亏损
300506,*ST名家,1.85,4.52,0.08,-0.54,3.67,0.84,16.38,3848.93万,5.73亿,10.59亿,28.59
